file	percent	reads	taxon_id	taxon_name
kaiju_nr_euk_greedy.out	0.003149	977	82802	Trichococcus
kaiju_nr_euk_greedy.out	0.003139	974	46255	Weissella
kaiju_nr_euk_greedy.out	0.003123	969	2132	Spiroplasma
kaiju_nr_euk_greedy.out	0.003123	969	1973274	Niameybacter
kaiju_nr_euk_greedy.out	0.003117	967	407	Methylobacterium
kaiju_nr_euk_greedy.out	0.003113	966	642	Aeromonas
kaiju_nr_euk_greedy.out	0.003091	959	332157	Larkinella
kaiju_nr_euk_greedy.out	0.003081	956	338	Xanthomonas
kaiju_nr_euk_greedy.out	0.003078	955	670516	Mycobacteroides
kaiju_nr_euk_greedy.out	0.003055	948	1865	Actinoplanes
kaiju_nr_euk_greedy.out	0.003030	940	511434	Candidatus Azobacteroides
kaiju_nr_euk_greedy.out	0.003020	937	1569	Sporosarcina
kaiju_nr_euk_greedy.out	0.003013	935	1911556	Sediminispirochaeta
kaiju_nr_euk_greedy.out	0.003001	931	2038697	Williamwhitmania
kaiju_nr_euk_greedy.out	0.002991	928	286104	Winogradskyella
kaiju_nr_euk_greedy.out	0.002988	927	1988	Actinomadura
kaiju_nr_euk_greedy.out	0.002972	922	165696	Novosphingobium
kaiju_nr_euk_greedy.out	0.002939	912	1647	Erysipelothrix
kaiju_nr_euk_greedy.out	0.002939	912	1213720	Stomatobaculum
kaiju_nr_euk_greedy.out	0.002930	909	292691	Gramella
kaiju_nr_euk_greedy.out	0.002888	896	2304687	Petroclostridium
kaiju_nr_euk_greedy.out	0.002859	887	190972	Sedimentibacter
kaiju_nr_euk_greedy.out	0.002846	883	644652	Gordonibacter
kaiju_nr_euk_greedy.out	0.002839	881	390805	Geosporobacter
kaiju_nr_euk_greedy.out	0.002836	880	1080709	Methanomassiliicoccus
kaiju_nr_euk_greedy.out	0.002833	879	143222	Salegentibacter
kaiju_nr_euk_greedy.out	0.002827	877	106589	Cupriavidus
kaiju_nr_euk_greedy.out	0.002804	870	1913599	Peptoanaerobacter
kaiju_nr_euk_greedy.out	0.002798	868	724	Haemophilus
kaiju_nr_euk_greedy.out	0.002769	859	1769729	Hathewaya
kaiju_nr_euk_greedy.out	0.002762	857	69965	Macrococcus
kaiju_nr_euk_greedy.out	0.002752	854	1253	Pediococcus
kaiju_nr_euk_greedy.out	0.002752	854	1854	Frankia
kaiju_nr_euk_greedy.out	0.002746	852	1434049	Thermophagus
kaiju_nr_euk_greedy.out	0.002743	851	1505657	Intestinibacter
kaiju_nr_euk_greedy.out	0.002727	846	1866885	Mycolicibacterium
kaiju_nr_euk_greedy.out	0.002723	845	2316	Methanosphaera
kaiju_nr_euk_greedy.out	0.002723	845	78119	Succinispira
kaiju_nr_euk_greedy.out	0.002720	844	5820	Plasmodium
kaiju_nr_euk_greedy.out	0.002717	843	47251	Leptolyngbya
kaiju_nr_euk_greedy.out	0.002691	835	1378	Gemella
kaiju_nr_euk_greedy.out	0.002685	833	83612	Psychroflexus
kaiju_nr_euk_greedy.out	0.002675	830	156993	Reichenbachiella
kaiju_nr_euk_greedy.out	0.002672	829	2039302	Monoglobus
kaiju_nr_euk_greedy.out	0.002636	818	265	Paracoccus
kaiju_nr_euk_greedy.out	0.002636	818	5721	Trichomonas
kaiju_nr_euk_greedy.out	0.002630	816	118966	Anaerorhabdus
kaiju_nr_euk_greedy.out	0.002624	814	286729	Alkaliflexus
